,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,45,76.3%,14,23.7%,"8,342",74.6%,"2,833",25.4%,739,71.8%,290,28.2%,"1,524",86.1%,247,13.9%,484,77.6%,140,22.4%,"9,119",90.4%,966,9.6%,672,83.6%,132,16.4%,"2,310",84.4%,426,15.6%,"4,097",93.4%,289,6.6%,"3,950",85.6%,667,14.4%,"2,465",84.4%,454,15.6%,"7,141",84.7%,"1,294",15.3%,736,100.0%
Avon and Somerset,2,66.7%,1,33.3%,165,76.0%,52,24.0%,33,82.5%,7,17.5%,37,92.5%,3,7.5%,9,90.0%,1,10.0%,234,92.5%,19,7.5%,13,92.9%,1,7.1%,59,89.4%,7,10.6%,95,94.1%,6,5.9%,101,87.8%,14,12.2%,87,90.6%,9,9.4%,158,80.6%,38,19.4%,17,100.0%
Bedfordshire,3,50.0%,3,50.0%,80,69.0%,36,31.0%,4,66.7%,2,33.3%,7,58.3%,5,41.7%,13,92.9%,1,7.1%,90,90.9%,9,9.1%,5,83.3%,1,16.7%,19,90.5%,2,9.5%,34,100.0%,0,0.0%,39,83.0%,8,17.0%,4,66.7%,2,33.3%,50,78.1%,14,21.9%,18,100.0%
Cambridgeshire,2,100.0%,0,0.0%,87,82.1%,19,17.9%,7,63.6%,4,36.4%,13,81.3%,3,18.8%,4,100.0%,0,0.0%,91,88.3%,12,11.7%,6,100.0%,0,0.0%,29,90.6%,3,9.4%,24,100.0%,0,0.0%,48,90.6%,5,9.4%,11,91.7%,1,8.3%,74,93.7%,5,6.3%,9,100.0%
Cheshire,0,-,0,-,134,77.9%,38,22.1%,16,84.2%,3,15.8%,14,73.7%,5,26.3%,4,66.7%,2,33.3%,136,94.4%,8,5.6%,8,88.9%,1,11.1%,33,84.6%,6,15.4%,46,92.0%,4,8.0%,49,87.5%,7,12.5%,38,100.0%,0,0.0%,112,91.1%,11,8.9%,15,100.0%
Cleveland,0,-,0,-,92,70.2%,39,29.8%,10,76.9%,3,23.1%,38,82.6%,8,17.4%,7,77.8%,2,22.2%,260,90.3%,28,9.7%,9,100.0%,0,0.0%,48,94.1%,3,5.9%,59,93.7%,4,6.3%,93,81.6%,21,18.4%,21,95.5%,1,4.5%,63,82.9%,13,17.1%,3,100.0%
Cumbria,0,-,0,-,89,84.8%,16,15.2%,10,83.3%,2,16.7%,18,90.0%,2,10.0%,0,0,0,0,91,95.8%,4,4.2%,5,100.0%,0,0.0%,43,91.5%,4,8.5%,46,97.9%,1,2.1%,42,95.5%,2,4.5%,64,86.5%,10,13.5%,92,91.1%,9,8.9%,1,100.0%
Derbyshire,2,100.0%,0,0.0%,128,74.9%,43,25.1%,15,65.2%,8,34.8%,23,95.8%,1,4.2%,3,50.0%,3,50.0%,150,95.5%,7,4.5%,2,50.0%,2,50.0%,37,82.2%,8,17.8%,52,92.9%,4,7.1%,40,80.0%,10,20.0%,46,86.8%,7,13.2%,105,95.5%,5,4.5%,15,100.0%
Devon and Cornwall,0,-,0,-,153,76.9%,46,23.1%,6,85.7%,1,14.3%,18,90.0%,2,10.0%,1,100.0%,0,0.0%,140,86.4%,22,13.6%,13,100.0%,0,0.0%,38,77.6%,11,22.4%,62,93.9%,4,6.1%,56,80.0%,14,20.0%,82,81.2%,19,18.8%,177,93.2%,13,6.8%,11,100.0%
Dorset,0,-,0,-,85,76.6%,26,23.4%,3,60.0%,2,40.0%,14,87.5%,2,12.5%,3,75.0%,1,25.0%,71,88.8%,9,11.3%,2,100.0%,0,0.0%,25,92.6%,2,7.4%,33,100.0%,0,0.0%,39,88.6%,5,11.4%,25,75.8%,8,24.2%,80,85.1%,14,14.9%,16,100.0%
