,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,61,77.2%,18,22.8%,"8,366",74.3%,"2,891",25.7%,712,71.2%,288,28.8%,"1,549",84.5%,284,15.5%,541,76.8%,163,23.2%,"10,150",91.5%,945,8.5%,758,87.2%,111,12.8%,"2,455",85.2%,427,14.8%,"4,565",94.0%,292,6.0%,"3,787",83.8%,730,16.2%,"3,208",84.3%,597,15.7%,"12,078",89.4%,"1,425",10.6%,816,100.0%
Avon and Somerset,0,-,0,-,263,78.0%,74,22.0%,41,75.9%,13,24.1%,39,76.5%,12,23.5%,7,53.8%,6,46.2%,320,91.4%,30,8.6%,12,85.7%,2,14.3%,76,84.4%,14,15.6%,140,97.9%,3,2.1%,131,85.1%,23,14.9%,55,80.9%,13,19.1%,191,85.3%,33,14.7%,25,100.0%
Bedfordshire,0,-,0,-,59,69.4%,26,30.6%,6,66.7%,3,33.3%,11,78.6%,3,21.4%,7,87.5%,1,12.5%,84,86.6%,13,13.4%,7,77.8%,2,22.2%,12,75.0%,4,25.0%,19,100.0%,0,0.0%,7,50.0%,7,50.0%,11,91.7%,1,8.3%,36,80.0%,9,20.0%,19,100.0%
Cambridgeshire,0,-,0,-,109,77.9%,31,22.1%,16,72.7%,6,27.3%,25,86.2%,4,13.8%,0,0,0,0,111,96.5%,4,3.5%,17,94.4%,1,5.6%,21,84.0%,4,16.0%,60,93.8%,4,6.3%,30,83.3%,6,16.7%,26,86.7%,4,13.3%,76,87.4%,11,12.6%,13,100.0%
Cheshire,0,-,0,-,159,80.7%,38,19.3%,19,95.0%,1,5.0%,25,92.6%,2,7.4%,7,58.3%,5,41.7%,191,91.4%,18,8.6%,14,100.0%,0,0.0%,41,97.6%,1,2.4%,74,92.5%,6,7.5%,86,89.6%,10,10.4%,67,93.1%,5,6.9%,321,94.4%,19,5.6%,13,100.0%
Cleveland,0,-,0,-,102,73.4%,37,26.6%,16,64.0%,9,36.0%,34,85.0%,6,15.0%,4,30.8%,9,69.2%,261,89.7%,30,10.3%,12,100.0%,0,0.0%,57,75.0%,19,25.0%,66,90.4%,7,9.6%,94,75.2%,31,24.8%,22,81.5%,5,18.5%,101,86.3%,16,13.7%,0,-
Cumbria,0,-,0,-,67,80.7%,16,19.3%,3,75.0%,1,25.0%,13,81.3%,3,18.8%,2,100.0%,0,0.0%,116,98.3%,2,1.7%,1,100.0%,0,0.0%,42,100.0%,0,0.0%,43,95.6%,2,4.4%,45,95.7%,2,4.3%,55,93.2%,4,6.8%,91,91.0%,9,9.0%,5,100.0%
Derbyshire,1,100.0%,0,0.0%,145,74.7%,49,25.3%,14,82.4%,3,17.6%,27,75.0%,9,25.0%,7,77.8%,2,22.2%,201,91.4%,19,8.6%,11,91.7%,1,8.3%,54,88.5%,7,11.5%,68,94.4%,4,5.6%,76,73.8%,27,26.2%,46,76.7%,14,23.3%,171,91.4%,16,8.6%,6,100.0%
Devon and Cornwall,0,0.0%,1,100.0%,142,71.0%,58,29.0%,14,82.4%,3,17.6%,39,90.7%,4,9.3%,5,83.3%,1,16.7%,161,92.0%,14,8.0%,16,94.1%,1,5.9%,49,83.1%,10,16.9%,44,93.6%,3,6.4%,70,81.4%,16,18.6%,77,90.6%,8,9.4%,324,93.6%,22,6.4%,9,100.0%
Dorset,1,100.0%,0,0.0%,62,74.7%,21,25.3%,7,77.8%,2,22.2%,21,87.5%,3,12.5%,3,100.0%,0,0.0%,60,89.6%,7,10.4%,2,50.0%,2,50.0%,27,87.1%,4,12.9%,21,87.5%,3,12.5%,30,83.3%,6,16.7%,59,81.9%,13,18.1%,66,86.8%,10,13.2%,18,100.0%
Durham,1,100.0%,0,0.0%,83,71.6%,33,28.4%,9,75.0%,3,25.0%,20,76.9%,6,23.1%,6,100.0%,0,0.0%,161,90.4%,17,9.6%,4,100.0%,0,0.0%,48,92.3%,4,7.7%,30,96.8%,1,3.2%,69,87.3%,10,12.7%,14,70.0%,6,30.0%,74,89.2%,9,10.8%,1,100.0%
Dyfed Powys,1,100.0%,0,0.0%,73,75.3%,24,24.7%,4,80.0%,1,20.0%,13,92.9%,1,7.1%,1,100.0%,0,0.0%,64,94.1%,4,5.9%,12,100.0%,0,0.0%,17,77.3%,5,22.7%,96,97.0%,3,3.0%,51,89.5%,6,10.5%,30,93.8%,2,6.3%,145,86.3%,23,13.7%,4,100.0%
Essex,0,-,0,-,324,78.8%,87,21.2%,12,75.0%,4,25.0%,33,84.6%,6,15.4%,3,42.9%,4,57.1%,257,90.2%,28,9.8%,19,86.4%,3,13.6%,58,85.3%,10,14.7%,79,94.0%,5,6.0%,59,86.8%,9,13.2%,86,95.6%,4,4.4%,220,89.8%,25,10.2%,23,100.0%
Gloucestershire,0,0.0%,1,100.0%,52,72.2%,20,27.8%,2,66.7%,1,33.3%,11,100.0%,0,0.0%,2,66.7%,1,33.3%,62,91.2%,6,8.8%,3,100.0%,0,0.0%,16,84.2%,3,15.8%,34,100.0%,0,0.0%,34,94.4%,2,5.6%,9,90.0%,1,10.0%,128,88.9%,16,11.1%,14,100.0%
GreaterManchester,0,0.0%,2,100.0%,505,80.8%,120,19.2%,38,60.3%,25,39.7%,86,88.7%,11,11.3%,32,86.5%,5,13.5%,485,92.9%,37,7.1%,23,88.5%,3,11.5%,157,90.2%,17,9.8%,235,95.9%,10,4.1%,235,90.0%,26,10.0%,146,85.4%,25,14.6%,"1,160",95.7%,52,4.3%,22,100.0%
Gwent,0,-,0,-,83,63.4%,48,36.6%,10,52.6%,9,47.4%,26,92.9%,2,7.1%,12,75.0%,4,25.0%,103,92.8%,8,7.2%,11,78.6%,3,21.4%,41,83.7%,8,16.3%,58,90.6%,6,9.4%,89,83.2%,18,16.8%,24,96.0%,1,4.0%,80,76.2%,25,23.8%,4,100.0%
