,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,51,82.3%,11,17.7%,"9,087",75.6%,"2,930",24.4%,736,72.0%,286,28.0%,"1,715",85.8%,284,14.2%,522,79.0%,139,21.0%,"11,057",91.7%,998,8.3%,846,86.1%,137,13.9%,"2,693",85.1%,472,14.9%,"4,988",94.2%,305,5.8%,"4,752",85.6%,797,14.4%,"3,291",84.9%,586,15.1%,"12,945",89.8%,"1,466",10.2%,890,100.0%
Avon and Somerset,0,-,0,-,228,78.6%,62,21.4%,35,67.3%,17,32.7%,49,98.0%,1,2.0%,8,100.0%,0,0.0%,338,91.4%,32,8.6%,18,100.0%,0,0.0%,93,86.9%,14,13.1%,148,97.4%,4,2.6%,123,81.5%,28,18.5%,63,87.5%,9,12.5%,256,86.5%,40,13.5%,20,100.0%
Bedfordshire,0,0.0%,1,100.0%,68,70.1%,29,29.9%,2,66.7%,1,33.3%,7,63.6%,4,36.4%,16,69.6%,7,30.4%,75,94.9%,4,5.1%,17,85.0%,3,15.0%,22,73.3%,8,26.7%,31,91.2%,3,8.8%,30,76.9%,9,23.1%,13,86.7%,2,13.3%,171,92.9%,13,7.1%,12,100.0%
Cambridgeshire,0,-,0,-,101,82.8%,21,17.2%,10,76.9%,3,23.1%,18,81.8%,4,18.2%,6,60.0%,4,40.0%,148,90.8%,15,9.2%,10,71.4%,4,28.6%,30,90.9%,3,9.1%,47,97.9%,1,2.1%,37,94.9%,2,5.1%,28,75.7%,9,24.3%,103,86.6%,16,13.4%,14,100.0%
Cheshire,0,-,0,-,170,81.0%,40,19.0%,15,93.8%,1,6.3%,38,88.4%,5,11.6%,10,100.0%,0,0.0%,205,97.6%,5,2.4%,14,93.3%,1,6.7%,39,92.9%,3,7.1%,64,95.5%,3,4.5%,77,90.6%,8,9.4%,50,90.9%,5,9.1%,264,94.3%,16,5.7%,13,100.0%
Cleveland,2,40.0%,3,60.0%,119,73.0%,44,27.0%,11,64.7%,6,35.3%,36,94.7%,2,5.3%,3,60.0%,2,40.0%,334,91.5%,31,8.5%,11,78.6%,3,21.4%,46,78.0%,13,22.0%,65,97.0%,2,3.0%,123,82.0%,27,18.0%,34,70.8%,14,29.2%,228,93.4%,16,6.6%,3,100.0%
Cumbria,0,-,0,-,113,89.7%,13,10.3%,4,57.1%,3,42.9%,16,100.0%,0,0.0%,1,100.0%,0,0.0%,115,94.3%,7,5.7%,6,100.0%,0,0.0%,38,92.7%,3,7.3%,52,98.1%,1,1.9%,78,97.5%,2,2.5%,52,91.2%,5,8.8%,112,94.1%,7,5.9%,12,100.0%
Derbyshire,0,0.0%,1,100.0%,135,69.9%,58,30.1%,22,75.9%,7,24.1%,36,90.0%,4,10.0%,5,71.4%,2,28.6%,194,91.9%,17,8.1%,15,100.0%,0,0.0%,53,81.5%,12,18.5%,86,90.5%,9,9.5%,59,79.7%,15,20.3%,28,70.0%,12,30.0%,251,96.5%,9,3.5%,13,100.0%
Devon and Cornwall,0,-,0,-,220,77.5%,64,22.5%,16,84.2%,3,15.8%,25,86.2%,4,13.8%,10,100.0%,0,0.0%,199,89.6%,23,10.4%,18,90.0%,2,10.0%,74,89.2%,9,10.8%,96,95.0%,5,5.0%,83,88.3%,11,11.7%,75,84.3%,14,15.7%,410,93.0%,31,7.0%,10,100.0%
Dorset,0,-,0,-,87,75.0%,29,25.0%,6,46.2%,7,53.8%,20,95.2%,1,4.8%,6,100.0%,0,0.0%,96,95.0%,5,5.0%,4,100.0%,0,0.0%,30,88.2%,4,11.8%,47,90.4%,5,9.6%,42,84.0%,8,16.0%,61,81.3%,14,18.7%,112,88.2%,15,11.8%,7,100.0%
