,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,61,77.2%,18,22.8%,"8,444",74.3%,"2,927",25.7%,778,71.4%,311,28.6%,"1,467",84.1%,277,15.9%,512,79.5%,132,20.5%,"9,938",91.3%,947,8.7%,708,86.6%,110,13.4%,"2,466",85.0%,436,15.0%,"4,563",93.6%,311,6.4%,"4,023",85.0%,712,15.0%,"2,743",83.4%,547,16.6%,"8,407",86.1%,"1,361",13.9%,664,100.0%
Avon and Somerset,3,42.9%,4,57.1%,231,76.7%,70,23.3%,25,69.4%,11,30.6%,34,82.9%,7,17.1%,4,66.7%,2,33.3%,259,93.8%,17,6.2%,17,89.5%,2,10.5%,62,82.7%,13,17.3%,125,93.3%,9,6.7%,69,87.3%,10,12.7%,71,88.8%,9,11.3%,189,82.2%,41,17.8%,26,100.0%
Bedfordshire,1,100.0%,0,0.0%,57,72.2%,22,27.8%,1,16.7%,5,83.3%,10,100.0%,0,0.0%,5,83.3%,1,16.7%,97,91.5%,9,8.5%,7,87.5%,1,12.5%,15,78.9%,4,21.1%,44,93.6%,3,6.4%,28,90.3%,3,9.7%,18,90.0%,2,10.0%,65,87.8%,9,12.2%,7,100.0%
Cambridgeshire,0,-,0,-,111,80.4%,27,19.6%,5,83.3%,1,16.7%,11,91.7%,1,8.3%,8,100.0%,0,0.0%,108,96.4%,4,3.6%,18,94.7%,1,5.3%,19,90.5%,2,9.5%,38,100.0%,0,0.0%,55,96.5%,2,3.5%,13,81.3%,3,18.8%,92,92.0%,8,8.0%,7,100.0%
Cheshire,1,100.0%,0,0.0%,183,78.5%,50,21.5%,15,93.8%,1,6.3%,35,83.3%,7,16.7%,6,85.7%,1,14.3%,223,96.1%,9,3.9%,9,90.0%,1,10.0%,40,88.9%,5,11.1%,82,90.1%,9,9.9%,89,94.7%,5,5.3%,57,93.4%,4,6.6%,171,92.4%,14,7.6%,5,100.0%
Cleveland,3,100.0%,0,0.0%,84,75.0%,28,25.0%,19,82.6%,4,17.4%,39,88.6%,5,11.4%,4,66.7%,2,33.3%,245,89.7%,28,10.3%,9,100.0%,0,0.0%,41,89.1%,5,10.9%,57,98.3%,1,1.7%,99,73.9%,35,26.1%,21,67.7%,10,32.3%,174,94.6%,10,5.4%,1,100.0%
Cumbria,1,100.0%,0,0.0%,90,88.2%,12,11.8%,6,100.0%,0,0.0%,14,100.0%,0,0.0%,3,75.0%,1,25.0%,100,92.6%,8,7.4%,5,100.0%,0,0.0%,38,90.5%,4,9.5%,46,95.8%,2,4.2%,32,91.4%,3,8.6%,82,94.3%,5,5.7%,85,92.4%,7,7.6%,9,100.0%
Derbyshire,0,-,0,-,117,71.3%,47,28.7%,11,84.6%,2,15.4%,13,81.3%,3,18.8%,8,88.9%,1,11.1%,180,90.5%,19,9.5%,7,100.0%,0,0.0%,40,87.0%,6,13.0%,65,87.8%,9,12.2%,41,83.7%,8,16.3%,37,75.5%,12,24.5%,129,89.6%,15,10.4%,7,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,147,70.3%,62,29.7%,12,92.3%,1,7.7%,26,78.8%,7,21.2%,4,66.7%,2,33.3%,145,90.6%,15,9.4%,16,84.2%,3,15.8%,52,77.6%,15,22.4%,89,96.7%,3,3.3%,81,87.1%,12,12.9%,54,79.4%,14,20.6%,154,86.0%,25,14.0%,12,100.0%
Dorset,0,-,0,-,98,86.7%,15,13.3%,11,78.6%,3,21.4%,14,93.3%,1,6.7%,2,100.0%,0,0.0%,128,96.2%,5,3.8%,6,100.0%,0,0.0%,30,88.2%,4,11.8%,24,96.0%,1,4.0%,51,89.5%,6,10.5%,23,92.0%,2,8.0%,88,91.7%,8,8.3%,10,100.0%
Durham,0,-,0,-,84,77.8%,24,22.2%,14,82.4%,3,17.6%,17,85.0%,3,15.0%,3,100.0%,0,0.0%,153,91.6%,14,8.4%,1,50.0%,1,50.0%,35,87.5%,5,12.5%,29,93.5%,2,6.5%,62,88.6%,8,11.4%,22,81.5%,5,18.5%,80,92.0%,7,8.0%,1,100.0%
Dyfed Powys,0,-,0,-,66,80.5%,16,19.5%,3,100.0%,0,0.0%,11,100.0%,0,0.0%,2,50.0%,2,50.0%,53,93.0%,4,7.0%,0,0.0%,1,100.0%,21,77.8%,6,22.2%,84,95.5%,4,4.5%,34,77.3%,10,22.7%,10,76.9%,3,23.1%,178,92.2%,15,7.8%,2,100.0%
Essex,0,-,0,-,260,79.8%,66,20.2%,28,68.3%,13,31.7%,31,93.9%,2,6.1%,8,80.0%,2,20.0%,257,93.8%,17,6.2%,17,94.4%,1,5.6%,69,85.2%,12,14.8%,73,94.8%,4,5.2%,94,87.9%,13,12.1%,47,82.5%,10,17.5%,222,88.1%,30,11.9%,10,100.0%
Gloucestershire,0,-,0,-,52,76.5%,16,23.5%,5,100.0%,0,0.0%,6,75.0%,2,25.0%,2,100.0%,0,0.0%,85,90.4%,9,9.6%,5,100.0%,0,0.0%,15,88.2%,2,11.8%,18,94.7%,1,5.3%,14,77.8%,4,22.2%,17,77.3%,5,22.7%,58,96.7%,2,3.3%,14,100.0%
GreaterManchester,1,100.0%,0,0.0%,547,77.2%,162,22.8%,49,59.8%,33,40.2%,87,91.6%,8,8.4%,35,94.6%,2,5.4%,478,93.4%,34,6.6%,44,86.3%,7,13.7%,201,88.2%,27,11.8%,225,91.5%,21,8.5%,273,87.8%,38,12.2%,125,74.4%,43,25.6%,350,85.4%,60,14.6%,34,100.0%
Gwent,3,75.0%,1,25.0%,62,76.5%,19,23.5%,5,71.4%,2,28.6%,17,68.0%,8,32.0%,0,0.0%,1,100.0%,94,94.9%,5,5.1%,2,66.7%,1,33.3%,27,79.4%,7,20.6%,52,98.1%,1,1.9%,55,90.2%,6,9.8%,17,68.0%,8,32.0%,66,91.7%,6,8.3%,4,100.0%
Hampshire,0,-,0,-,305,73.8%,108,26.2%,23,57.5%,17,42.5%,32,88.9%,4,11.1%,6,85.7%,1,14.3%,295,92.5%,24,7.5%,16,84.2%,3,15.8%,74,78.7%,20,21.3%,102,87.2%,15,12.8%,110,88.7%,14,11.3%,63,82.9%,13,17.1%,195,83.7%,38,16.3%,15,100.0%
Hertfordshire,0,-,0,-,163,79.5%,42,20.5%,16,66.7%,8,33.3%,18,75.0%,6,25.0%,10,76.9%,3,23.1%,190,89.2%,23,10.8%,16,69.6%,7,30.4%,33,89.2%,4,10.8%,77,95.1%,4,4.9%,53,80.3%,13,19.7%,15,88.2%,2,11.8%,143,81.3%,33,18.8%,8,100.0%
Humberside,2,100.0%,0,0.0%,200,90.9%,20,9.1%,18,66.7%,9,33.3%,31,96.9%,1,3.1%,6,85.7%,1,14.3%,192,94.1%,12,5.9%,11,100.0%,0,0.0%,52,91.2%,5,8.8%,53,98.1%,1,1.9%,90,97.8%,2,2.2%,39,84.8%,7,15.2%,92,93.9%,6,6.1%,10,100.0%
Kent,0,0.0%,1,100.0%,248,69.9%,107,30.1%,23,76.7%,7,23.3%,55,88.7%,7,11.3%,15,83.3%,3,16.7%,352,86.5%,55,13.5%,19,95.0%,1,5.0%,94,80.3%,23,19.7%,135,95.7%,6,4.3%,86,90.5%,9,9.5%,120,68.6%,55,31.4%,215,90.0%,24,10.0%,28,100.0%
Lancashire,0,-,0,-,264,72.1%,102,27.9%,26,65.0%,14,35.0%,72,86.7%,11,13.3%,14,93.3%,1,6.7%,350,93.6%,24,6.4%,17,89.5%,2,10.5%,119,83.8%,23,16.2%,144,94.1%,9,5.9%,173,90.1%,19,9.9%,146,89.6%,17,10.4%,281,83.1%,57,16.9%,11,100.0%
Leicestershire,0,-,0,-,162,83.1%,33,16.9%,6,75.0%,2,25.0%,27,84.4%,5,15.6%,6,54.5%,5,45.5%,138,84.1%,26,15.9%,6,100.0%,0,0.0%,50,94.3%,3,5.7%,31,86.1%,5,13.9%,86,85.1%,15,14.9%,15,88.2%,2,11.8%,142,89.3%,17,10.7%,8,100.0%
Lincolnshire,0,-,0,-,80,80.8%,19,19.2%,5,71.4%,2,28.6%,27,100.0%,0,0.0%,3,100.0%,0,0.0%,105,86.1%,17,13.9%,8,100.0%,0,0.0%,13,81.3%,3,18.8%,30,100.0%,0,0.0%,43,76.8%,13,23.2%,6,85.7%,1,14.3%,119,83.8%,23,16.2%,2,100.0%
