,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,42,68.9%,19,31.1%,"8,888",74.5%,"3,037",25.5%,815,70.4%,343,29.6%,"1,440",83.7%,280,16.3%,529,80.4%,129,19.6%,"9,157",91.1%,897,8.9%,668,85.2%,116,14.8%,"2,307",85.3%,399,14.7%,"4,116",93.7%,279,6.3%,"3,910",84.2%,735,15.8%,"2,170",82.4%,462,17.6%,"7,794",85.9%,"1,277",14.1%,756,100.0%
Avon and Somerset,2,100.0%,0,0.0%,244,77.2%,72,22.8%,27,67.5%,13,32.5%,53,96.4%,2,3.6%,11,91.7%,1,8.3%,260,94.5%,15,5.5%,15,78.9%,4,21.1%,72,91.1%,7,8.9%,90,90.9%,9,9.1%,65,79.3%,17,20.7%,72,80.9%,17,19.1%,174,80.6%,42,19.4%,19,100.0%
Bedfordshire,1,100.0%,0,0.0%,83,65.4%,44,34.6%,3,75.0%,1,25.0%,15,88.2%,2,11.8%,14,82.4%,3,17.6%,81,79.4%,21,20.6%,6,85.7%,1,14.3%,17,81.0%,4,19.0%,40,97.6%,1,2.4%,35,85.4%,6,14.6%,6,75.0%,2,25.0%,72,87.8%,10,12.2%,16,100.0%
Cambridgeshire,1,100.0%,0,0.0%,115,87.1%,17,12.9%,8,80.0%,2,20.0%,15,100.0%,0,0.0%,8,100.0%,0,0.0%,120,87.6%,17,12.4%,9,100.0%,0,0.0%,30,88.2%,4,11.8%,38,90.5%,4,9.5%,53,91.4%,5,8.6%,35,85.4%,6,14.6%,94,92.2%,8,7.8%,6,100.0%
Cheshire,4,80.0%,1,20.0%,165,78.9%,44,21.1%,16,100.0%,0,0.0%,30,90.9%,3,9.1%,4,100.0%,0,0.0%,187,94.0%,12,6.0%,25,96.2%,1,3.8%,29,87.9%,4,12.1%,63,96.9%,2,3.1%,70,88.6%,9,11.4%,36,80.0%,9,20.0%,127,95.5%,6,4.5%,11,100.0%
Cleveland,1,100.0%,0,0.0%,115,75.2%,38,24.8%,12,80.0%,3,20.0%,25,86.2%,4,13.8%,5,100.0%,0,0.0%,257,93.5%,18,6.5%,5,100.0%,0,0.0%,37,84.1%,7,15.9%,56,96.6%,2,3.4%,91,79.8%,23,20.2%,24,88.9%,3,11.1%,75,87.2%,11,12.8%,1,100.0%
Cumbria,0,-,0,-,91,82.0%,20,18.0%,12,100.0%,0,0.0%,7,100.0%,0,0.0%,4,100.0%,0,0.0%,101,97.1%,3,2.9%,4,80.0%,1,20.0%,36,94.7%,2,5.3%,31,96.9%,1,3.1%,46,88.5%,6,11.5%,54,85.7%,9,14.3%,81,82.7%,17,17.3%,2,100.0%
Derbyshire,0,-,0,-,153,70.8%,63,29.2%,15,78.9%,4,21.1%,29,70.7%,12,29.3%,9,64.3%,5,35.7%,166,87.8%,23,12.2%,11,91.7%,1,8.3%,41,87.2%,6,12.8%,68,93.2%,5,6.8%,48,81.4%,11,18.6%,39,86.7%,6,13.3%,113,87.6%,16,12.4%,6,100.0%
Devon and Cornwall,1,16.7%,5,83.3%,167,74.9%,56,25.1%,9,90.0%,1,10.0%,23,95.8%,1,4.2%,2,100.0%,0,0.0%,158,95.2%,8,4.8%,8,100.0%,0,0.0%,49,86.0%,8,14.0%,62,92.5%,5,7.5%,55,85.9%,9,14.1%,61,84.7%,11,15.3%,151,92.1%,13,7.9%,15,100.0%
Dorset,0,-,0,-,102,77.3%,30,22.7%,4,50.0%,4,50.0%,21,91.3%,2,8.7%,5,71.4%,2,28.6%,117,93.6%,8,6.4%,6,100.0%,0,0.0%,27,90.0%,3,10.0%,41,97.6%,1,2.4%,37,92.5%,3,7.5%,20,76.9%,6,23.1%,87,94.6%,5,5.4%,7,100.0%
