,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,104,83.9%,20,16.1%,"10,349",78.2%,"2,884",21.8%,"1,011",75.3%,332,24.7%,"1,287",84.9%,229,15.1%,401,83.5%,79,16.5%,"7,431",91.8%,666,8.2%,888,83.3%,178,16.7%,"1,881",84.2%,354,15.8%,"3,830",93.2%,279,6.8%,"2,956",82.6%,624,17.4%,594,84.7%,107,15.3%,"6,764",85.6%,"1,136",14.4%,890,100.0%
Avon and Somerset,1,100.0%,0,0.0%,190,73.4%,69,26.6%,32,64.0%,18,36.0%,27,84.4%,5,15.6%,5,100.0%,0,0.0%,135,91.2%,13,8.8%,18,90.0%,2,10.0%,30,83.3%,6,16.7%,52,94.5%,3,5.5%,60,84.5%,11,15.5%,5,71.4%,2,28.6%,175,84.5%,32,15.5%,56,100.0%
Bedfordshire,0,-,0,-,29,69.0%,13,31.0%,4,57.1%,3,42.9%,3,50.0%,3,50.0%,3,75.0%,1,25.0%,13,72.2%,5,27.8%,1,100.0%,0,0.0%,3,50.0%,3,50.0%,8,100.0%,0,0.0%,3,50.0%,3,50.0%,2,100.0%,0,0.0%,1,100.0%,0,0.0%,11,100.0%
Cambridgeshire,2,100.0%,0,0.0%,103,77.4%,30,22.6%,9,100.0%,0,0.0%,19,95.0%,1,5.0%,3,100.0%,0,0.0%,54,93.1%,4,6.9%,9,90.0%,1,10.0%,23,76.7%,7,23.3%,35,94.6%,2,5.4%,31,86.1%,5,13.9%,5,50.0%,5,50.0%,72,91.1%,7,8.9%,12,100.0%
Cheshire,3,100.0%,0,0.0%,200,83.3%,40,16.7%,29,76.3%,9,23.7%,20,95.2%,1,4.8%,4,100.0%,0,0.0%,171,96.1%,7,3.9%,19,86.4%,3,13.6%,52,89.7%,6,10.3%,77,93.9%,5,6.1%,99,92.5%,8,7.5%,14,93.3%,1,6.7%,167,92.8%,13,7.2%,10,100.0%
Cleveland,1,100.0%,0,0.0%,131,83.4%,26,16.6%,5,71.4%,2,28.6%,15,71.4%,6,28.6%,3,37.5%,5,62.5%,266,95.3%,13,4.7%,6,100.0%,0,0.0%,40,85.1%,7,14.9%,62,93.9%,4,6.1%,57,82.6%,12,17.4%,7,77.8%,2,22.2%,81,92.0%,7,8.0%,7,100.0%
Cumbria,0,-,0,-,93,86.9%,14,13.1%,7,100.0%,0,0.0%,4,100.0%,0,0.0%,3,100.0%,0,0.0%,69,95.8%,3,4.2%,4,100.0%,0,0.0%,25,100.0%,0,0.0%,27,96.4%,1,3.6%,38,92.7%,3,7.3%,6,85.7%,1,14.3%,89,92.7%,7,7.3%,1,100.0%
Derbyshire,3,75.0%,1,25.0%,206,81.4%,47,18.6%,26,89.7%,3,10.3%,18,85.7%,3,14.3%,7,87.5%,1,12.5%,127,88.8%,16,11.2%,15,83.3%,3,16.7%,43,69.4%,19,30.6%,59,95.2%,3,4.8%,30,75.0%,10,25.0%,9,81.8%,2,18.2%,98,92.5%,8,7.5%,6,100.0%
Devon and Cornwall,0,-,0,-,228,81.1%,53,18.9%,13,81.3%,3,18.8%,28,93.3%,2,6.7%,0,0,0,0,114,95.0%,6,5.0%,13,72.2%,5,27.8%,36,81.8%,8,18.2%,59,92.2%,5,7.8%,68,81.0%,16,19.0%,8,100.0%,0,0.0%,172,91.5%,16,8.5%,3,100.0%
Dorset,2,66.7%,1,33.3%,120,83.3%,24,16.7%,9,81.8%,2,18.2%,23,88.5%,3,11.5%,1,33.3%,2,66.7%,104,93.7%,7,6.3%,4,80.0%,1,20.0%,16,84.2%,3,15.8%,42,95.5%,2,4.5%,38,79.2%,10,20.8%,3,60.0%,2,40.0%,64,87.7%,9,12.3%,24,100.0%
Durham,0,-,0,-,143,81.7%,32,18.3%,5,100.0%,0,0.0%,24,82.8%,5,17.2%,4,100.0%,0,0.0%,106,86.2%,17,13.8%,14,73.7%,5,26.3%,30,83.3%,6,16.7%,35,94.6%,2,5.4%,32,78.0%,9,22.0%,8,72.7%,3,27.3%,80,94.1%,5,5.9%,2,100.0%
Dyfed Powys,1,100.0%,0,0.0%,71,85.5%,12,14.5%,4,80.0%,1,20.0%,7,100.0%,0,0.0%,0,0,0,0,33,89.2%,4,10.8%,3,100.0%,0,0.0%,13,76.5%,4,23.5%,50,94.3%,3,5.7%,30,88.2%,4,11.8%,3,100.0%,0,0.0%,72,80.0%,18,20.0%,2,100.0%
Essex,1,25.0%,3,75.0%,263,73.7%,94,26.3%,36,80.0%,9,20.0%,31,86.1%,5,13.9%,7,70.0%,3,30.0%,205,91.9%,18,8.1%,11,64.7%,6,35.3%,58,86.6%,9,13.4%,58,92.1%,5,7.9%,51,85.0%,9,15.0%,7,100.0%,0,0.0%,219,75.0%,73,25.0%,25,100.0%
Gloucestershire,0,-,0,-,67,82.7%,14,17.3%,1,100.0%,0,0.0%,15,88.2%,2,11.8%,1,100.0%,0,0.0%,69,94.5%,4,5.5%,4,80.0%,1,20.0%,10,100.0%,0,0.0%,20,100.0%,0,0.0%,13,100.0%,0,0.0%,2,100.0%,0,0.0%,52,96.3%,2,3.7%,12,100.0%
GreaterManchester,3,75.0%,1,25.0%,662,81.4%,151,18.6%,88,82.2%,19,17.8%,78,92.9%,6,7.1%,30,96.8%,1,3.2%,319,94.1%,20,5.9%,33,75.0%,11,25.0%,89,89.0%,11,11.0%,134,97.8%,3,2.2%,180,84.5%,33,15.5%,31,96.9%,1,3.1%,328,83.0%,67,17.0%,32,100.0%
Gwent,0,-,0,-,99,83.2%,20,16.8%,7,53.8%,6,46.2%,13,92.9%,1,7.1%,2,66.7%,1,33.3%,59,95.2%,3,4.8%,8,66.7%,4,33.3%,24,80.0%,6,20.0%,50,98.0%,1,2.0%,28,84.8%,5,15.2%,3,100.0%,0,0.0%,57,85.1%,10,14.9%,4,100.0%
Hampshire,6,100.0%,0,0.0%,291,83.6%,57,16.4%,32,76.2%,10,23.8%,45,77.6%,13,22.4%,15,93.8%,1,6.3%,200,92.2%,17,7.8%,25,89.3%,3,10.7%,49,83.1%,10,16.9%,68,91.9%,6,8.1%,65,91.5%,6,8.5%,14,93.3%,1,6.7%,235,91.8%,21,8.2%,16,100.0%
Hertfordshire,1,100.0%,0,0.0%,40,74.1%,14,25.9%,11,84.6%,2,15.4%,5,62.5%,3,37.5%,3,100.0%,0,0.0%,36,83.7%,7,16.3%,6,66.7%,3,33.3%,4,44.4%,5,55.6%,16,88.9%,2,11.1%,2,40.0%,3,60.0%,2,66.7%,1,33.3%,8,61.5%,5,38.5%,22,100.0%
Humberside,2,100.0%,0,0.0%,163,87.2%,24,12.8%,29,72.5%,11,27.5%,30,90.9%,3,9.1%,11,100.0%,0,0.0%,168,95.5%,8,4.5%,4,100.0%,0,0.0%,45,93.8%,3,6.3%,57,91.9%,5,8.1%,55,85.9%,9,14.1%,5,83.3%,1,16.7%,100,93.5%,7,6.5%,12,100.0%
