,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,57,82.6%,12,17.4%,"10,309",75.5%,"3,347",24.5%,946,72.0%,368,28.0%,"1,621",86.0%,263,14.0%,496,75.4%,162,24.6%,"10,367",91.9%,918,8.1%,817,83.5%,162,16.5%,"2,536",85.9%,416,14.1%,"4,497",93.3%,324,6.7%,"4,102",84.0%,781,16.0%,"2,017",83.5%,398,16.5%,"8,279",84.8%,"1,481",15.2%,628,100.0%
Avon and Somerset,0,-,0,-,277,79.6%,71,20.4%,54,78.3%,15,21.7%,49,94.2%,3,5.8%,5,83.3%,1,16.7%,338,93.6%,23,6.4%,23,85.2%,4,14.8%,74,84.1%,14,15.9%,94,94.0%,6,6.0%,124,91.9%,11,8.1%,72,88.9%,9,11.1%,244,80.8%,58,19.2%,27,100.0%
Bedfordshire,0,-,0,-,125,79.6%,32,20.4%,4,80.0%,1,20.0%,17,94.4%,1,5.6%,7,77.8%,2,22.2%,106,91.4%,10,8.6%,11,57.9%,8,42.1%,15,88.2%,2,11.8%,47,92.2%,4,7.8%,49,79.0%,13,21.0%,18,90.0%,2,10.0%,74,92.5%,6,7.5%,8,100.0%
Cambridgeshire,0,-,0,-,110,79.1%,29,20.9%,6,66.7%,3,33.3%,15,88.2%,2,11.8%,3,75.0%,1,25.0%,108,96.4%,4,3.6%,7,87.5%,1,12.5%,22,88.0%,3,12.0%,46,90.2%,5,9.8%,32,88.9%,4,11.1%,9,64.3%,5,35.7%,71,88.8%,9,11.3%,9,100.0%
Cheshire,0,-,0,-,193,82.8%,40,17.2%,14,73.7%,5,26.3%,33,100.0%,0,0.0%,11,68.8%,5,31.3%,185,92.5%,15,7.5%,20,95.2%,1,4.8%,32,91.4%,3,8.6%,117,97.5%,3,2.5%,63,95.5%,3,4.5%,68,89.5%,8,10.5%,110,91.7%,10,8.3%,7,100.0%
Cleveland,0,-,0,-,136,77.3%,40,22.7%,14,82.4%,3,17.6%,29,90.6%,3,9.4%,4,80.0%,1,20.0%,284,92.5%,23,7.5%,11,73.3%,4,26.7%,37,78.7%,10,21.3%,76,90.5%,8,9.5%,111,89.5%,13,10.5%,15,100.0%,0,0.0%,86,90.5%,9,9.5%,4,100.0%
Cumbria,1,100.0%,0,0.0%,96,84.2%,18,15.8%,12,92.3%,1,7.7%,14,73.7%,5,26.3%,0,0,0,0,95,95.0%,5,5.0%,7,100.0%,0,0.0%,33,91.7%,3,8.3%,55,98.2%,1,1.8%,51,94.4%,3,5.6%,58,92.1%,5,7.9%,114,93.4%,8,6.6%,2,100.0%
Derbyshire,0,-,0,-,160,71.4%,64,28.6%,34,89.5%,4,10.5%,39,90.7%,4,9.3%,11,44.0%,14,56.0%,201,91.0%,20,9.0%,14,87.5%,2,12.5%,54,79.4%,14,20.6%,73,91.3%,7,8.8%,52,73.2%,19,26.8%,32,78.0%,9,22.0%,99,86.8%,15,13.2%,8,100.0%
Devon and Cornwall,2,100.0%,0,0.0%,205,76.5%,63,23.5%,12,85.7%,2,14.3%,40,93.0%,3,7.0%,14,100.0%,0,0.0%,183,92.9%,14,7.1%,18,81.8%,4,18.2%,71,86.6%,11,13.4%,108,95.6%,5,4.4%,61,83.6%,12,16.4%,89,86.4%,14,13.6%,186,92.1%,16,7.9%,10,100.0%
Dorset,0,-,0,-,105,76.1%,33,23.9%,11,64.7%,6,35.3%,14,87.5%,2,12.5%,2,100.0%,0,0.0%,103,94.5%,6,5.5%,6,85.7%,1,14.3%,28,100.0%,0,0.0%,40,95.2%,2,4.8%,35,85.4%,6,14.6%,9,69.2%,4,30.8%,77,82.8%,16,17.2%,7,100.0%
Durham,0,-,0,-,128,74.4%,44,25.6%,9,50.0%,9,50.0%,34,82.9%,7,17.1%,3,100.0%,0,0.0%,157,95.2%,8,4.8%,7,63.6%,4,36.4%,45,76.3%,14,23.7%,28,87.5%,4,12.5%,59,84.3%,11,15.7%,6,85.7%,1,14.3%,88,88.9%,11,11.1%,0,-
