,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,90,81.1%,21,18.9%,"11,595",76.8%,"3,509",23.2%,942,72.8%,352,27.2%,"1,527",86.0%,248,14.0%,395,79.5%,102,20.5%,"8,414",90.5%,881,9.5%,936,85.2%,163,14.8%,"2,191",83.8%,424,16.2%,"4,389",93.2%,319,6.8%,"3,677",84.1%,696,15.9%,780,82.9%,161,17.1%,"8,266",83.7%,"1,605",16.3%,920,100.0%
Avon and Somerset,5,83.3%,1,16.7%,354,79.4%,92,20.6%,55,78.6%,15,21.4%,38,88.4%,5,11.6%,5,100.0%,0,0.0%,240,94.1%,15,5.9%,20,76.9%,6,23.1%,56,87.5%,8,12.5%,118,94.4%,7,5.6%,88,83.8%,17,16.2%,12,80.0%,3,20.0%,205,86.5%,32,13.5%,45,100.0%
Bedfordshire,2,100.0%,0,0.0%,97,75.2%,32,24.8%,4,66.7%,2,33.3%,16,88.9%,2,11.1%,9,90.0%,1,10.0%,66,89.2%,8,10.8%,9,100.0%,0,0.0%,16,72.7%,6,27.3%,27,100.0%,0,0.0%,26,86.7%,4,13.3%,5,62.5%,3,37.5%,77,91.7%,7,8.3%,11,100.0%
Cambridgeshire,2,100.0%,0,0.0%,117,78.0%,33,22.0%,2,66.7%,1,33.3%,18,100.0%,0,0.0%,1,33.3%,2,66.7%,96,94.1%,6,5.9%,10,90.9%,1,9.1%,27,93.1%,2,6.9%,30,88.2%,4,11.8%,29,90.6%,3,9.4%,14,100.0%,0,0.0%,123,88.5%,16,11.5%,8,100.0%
Cheshire,0,-,0,-,263,83.8%,51,16.2%,13,68.4%,6,31.6%,20,69.0%,9,31.0%,3,100.0%,0,0.0%,187,91.2%,18,8.8%,10,100.0%,0,0.0%,48,87.3%,7,12.7%,79,94.0%,5,6.0%,66,85.7%,11,14.3%,22,84.6%,4,15.4%,203,84.9%,36,15.1%,2,100.0%
Cleveland,0,-,0,-,149,75.3%,49,24.7%,14,77.8%,4,22.2%,44,80.0%,11,20.0%,4,100.0%,0,0.0%,259,92.8%,20,7.2%,9,81.8%,2,18.2%,41,75.9%,13,24.1%,76,89.4%,9,10.6%,88,83.8%,17,16.2%,5,83.3%,1,16.7%,75,89.3%,9,10.7%,13,100.0%
Cumbria,0,-,0,-,106,86.2%,17,13.8%,6,75.0%,2,25.0%,18,100.0%,0,0.0%,2,100.0%,0,0.0%,80,100.0%,0,0.0%,9,100.0%,0,0.0%,17,94.4%,1,5.6%,40,100.0%,0,0.0%,58,96.7%,2,3.3%,8,100.0%,0,0.0%,102,91.1%,10,8.9%,1,100.0%
Derbyshire,1,100.0%,0,0.0%,231,80.5%,56,19.5%,17,73.9%,6,26.1%,19,82.6%,4,17.4%,4,80.0%,1,20.0%,146,86.9%,22,13.1%,9,100.0%,0,0.0%,52,77.6%,15,22.4%,72,92.3%,6,7.7%,56,76.7%,17,23.3%,12,92.3%,1,7.7%,103,89.6%,12,10.4%,20,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,230,75.9%,73,24.1%,15,100.0%,0,0.0%,39,84.8%,7,15.2%,4,80.0%,1,20.0%,141,93.4%,10,6.6%,22,71.0%,9,29.0%,51,86.4%,8,13.6%,86,95.6%,4,4.4%,68,73.1%,25,26.9%,5,100.0%,0,0.0%,185,87.7%,26,12.3%,21,100.0%
Dorset,1,50.0%,1,50.0%,161,83.4%,32,16.6%,9,60.0%,6,40.0%,23,88.5%,3,11.5%,2,50.0%,2,50.0%,99,90.0%,11,10.0%,8,100.0%,0,0.0%,35,83.3%,7,16.7%,41,100.0%,0,0.0%,63,88.7%,8,11.3%,2,66.7%,1,33.3%,104,92.0%,9,8.0%,10,100.0%
