,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,65,73.9%,23,26.1%,"10,769",75.8%,"3,443",24.2%,972,72.1%,376,27.9%,"1,403",84.4%,260,15.6%,468,77.0%,140,23.0%,"9,015",91.6%,825,8.4%,800,84.8%,143,15.2%,"2,481",85.7%,413,14.3%,"4,202",93.5%,290,6.5%,"3,717",85.2%,647,14.8%,"1,775",82.3%,381,17.7%,"8,817",83.6%,"1,725",16.4%,927,100.0%
Avon and Somerset,0,-,0,-,277,76.5%,85,23.5%,42,75.0%,14,25.0%,29,82.9%,6,17.1%,12,92.3%,1,7.7%,240,93.0%,18,7.0%,12,100.0%,0,0.0%,90,83.3%,18,16.7%,74,97.4%,2,2.6%,41,78.8%,11,21.2%,84,84.0%,16,16.0%,237,78.0%,67,22.0%,37,100.0%
Bedfordshire,2,100.0%,0,0.0%,102,81.0%,24,19.0%,6,100.0%,0,0.0%,15,88.2%,2,11.8%,5,62.5%,3,37.5%,80,93.0%,6,7.0%,10,83.3%,2,16.7%,30,83.3%,6,16.7%,37,88.1%,5,11.9%,40,93.0%,3,7.0%,4,57.1%,3,42.9%,93,92.1%,8,7.9%,21,100.0%
Cambridgeshire,0,-,0,-,120,81.6%,27,18.4%,6,100.0%,0,0.0%,17,81.0%,4,19.0%,16,94.1%,1,5.9%,50,86.2%,8,13.8%,11,91.7%,1,8.3%,27,87.1%,4,12.9%,33,97.1%,1,2.9%,21,80.8%,5,19.2%,4,40.0%,6,60.0%,91,94.8%,5,5.2%,10,100.0%
Cheshire,0,-,0,-,288,83.2%,58,16.8%,26,72.2%,10,27.8%,27,77.1%,8,22.9%,5,83.3%,1,16.7%,200,96.6%,7,3.4%,15,88.2%,2,11.8%,55,90.2%,6,9.8%,74,91.4%,7,8.6%,110,94.0%,7,6.0%,22,95.7%,1,4.3%,194,89.4%,23,10.6%,11,100.0%
Cleveland,0,0.0%,1,100.0%,127,70.9%,52,29.1%,15,88.2%,2,11.8%,40,83.3%,8,16.7%,10,90.9%,1,9.1%,303,93.5%,21,6.5%,10,100.0%,0,0.0%,49,89.1%,6,10.9%,56,96.6%,2,3.4%,97,85.8%,16,14.2%,18,72.0%,7,28.0%,85,90.4%,9,9.6%,12,100.0%
Cumbria,0,-,0,-,79,82.3%,17,17.7%,7,87.5%,1,12.5%,7,100.0%,0,0.0%,3,100.0%,0,0.0%,97,96.0%,4,4.0%,8,88.9%,1,11.1%,27,90.0%,3,10.0%,43,97.7%,1,2.3%,47,94.0%,3,6.0%,16,100.0%,0,0.0%,80,87.9%,11,12.1%,0,-
Derbyshire,0,-,0,-,205,79.2%,54,20.8%,17,89.5%,2,10.5%,16,88.9%,2,11.1%,7,87.5%,1,12.5%,130,84.4%,24,15.6%,9,75.0%,3,25.0%,44,80.0%,11,20.0%,59,93.7%,4,6.3%,68,93.2%,5,6.8%,20,87.0%,3,13.0%,126,90.6%,13,9.4%,11,100.0%
Devon and Cornwall,0,0.0%,1,100.0%,148,72.2%,57,27.8%,6,85.7%,1,14.3%,26,83.9%,5,16.1%,6,60.0%,4,40.0%,130,91.5%,12,8.5%,15,75.0%,5,25.0%,50,86.2%,8,13.8%,62,87.3%,9,12.7%,51,77.3%,15,22.7%,81,78.6%,22,21.4%,189,89.6%,22,10.4%,17,100.0%
Dorset,1,100.0%,0,0.0%,144,79.6%,37,20.4%,8,61.5%,5,38.5%,12,80.0%,3,20.0%,1,50.0%,1,50.0%,113,91.1%,11,8.9%,6,85.7%,1,14.3%,35,87.5%,5,12.5%,39,100.0%,0,0.0%,27,77.1%,8,22.9%,21,87.5%,3,12.5%,123,89.8%,14,10.2%,16,100.0%
