,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,101,74.3%,35,25.7%,"10,394",77.1%,"3,087",22.9%,"1,084",74.9%,363,25.1%,"1,159",85.9%,191,14.1%,348,77.2%,103,22.8%,"7,156",91.8%,637,8.2%,961,84.3%,179,15.7%,"1,831",84.5%,337,15.5%,"4,123",94.1%,260,5.9%,"3,245",83.7%,634,16.3%,697,84.5%,128,15.5%,"7,150",84.4%,"1,317",15.6%,803,100.0%
Avon and Somerset,3,33.3%,6,66.7%,305,77.4%,89,22.6%,48,82.8%,10,17.2%,35,92.1%,3,7.9%,7,87.5%,1,12.5%,186,93.5%,13,6.5%,13,81.3%,3,18.8%,51,87.9%,7,12.1%,98,98.0%,2,2.0%,73,88.0%,10,12.0%,8,80.0%,2,20.0%,203,86.4%,32,13.6%,35,100.0%
Bedfordshire,3,60.0%,2,40.0%,83,83.8%,16,16.2%,7,77.8%,2,22.2%,22,95.7%,1,4.3%,3,75.0%,1,25.0%,41,85.4%,7,14.6%,6,100.0%,0,0.0%,16,100.0%,0,0.0%,31,93.9%,2,6.1%,16,76.2%,5,23.8%,4,66.7%,2,33.3%,76,80.0%,19,20.0%,10,100.0%
Cambridgeshire,0,-,0,-,138,84.1%,26,15.9%,10,83.3%,2,16.7%,15,88.2%,2,11.8%,4,80.0%,1,20.0%,85,96.6%,3,3.4%,3,100.0%,0,0.0%,29,87.9%,4,12.1%,36,97.3%,1,2.7%,28,87.5%,4,12.5%,7,100.0%,0,0.0%,84,88.4%,11,11.6%,11,100.0%
Cheshire,2,100.0%,0,0.0%,275,84.4%,51,15.6%,21,72.4%,8,27.6%,14,73.7%,5,26.3%,1,33.3%,2,66.7%,151,95.0%,8,5.0%,15,100.0%,0,0.0%,40,87.0%,6,13.0%,101,98.1%,2,1.9%,95,91.3%,9,8.7%,14,87.5%,2,12.5%,201,91.8%,18,8.2%,6,100.0%
Cleveland,1,100.0%,0,0.0%,148,77.5%,43,22.5%,11,91.7%,1,8.3%,39,90.7%,4,9.3%,5,55.6%,4,44.4%,210,93.3%,15,6.7%,11,100.0%,0,0.0%,40,78.4%,11,21.6%,75,96.2%,3,3.8%,46,78.0%,13,22.0%,14,73.7%,5,26.3%,85,96.6%,3,3.4%,6,100.0%
Cumbria,0,-,0,-,96,78.7%,26,21.3%,5,83.3%,1,16.7%,9,90.0%,1,10.0%,1,100.0%,0,0.0%,64,91.4%,6,8.6%,7,87.5%,1,12.5%,25,78.1%,7,21.9%,34,91.9%,3,8.1%,25,89.3%,3,10.7%,4,100.0%,0,0.0%,74,91.4%,7,8.6%,3,100.0%
Derbyshire,0,-,0,-,178,81.7%,40,18.3%,4,100.0%,0,0.0%,14,82.4%,3,17.6%,7,100.0%,0,0.0%,117,92.1%,10,7.9%,12,100.0%,0,0.0%,45,83.3%,9,16.7%,48,87.3%,7,12.7%,49,83.1%,10,16.9%,12,80.0%,3,20.0%,116,82.9%,24,17.1%,22,100.0%
Devon and Cornwall,2,66.7%,1,33.3%,221,79.2%,58,20.8%,16,88.9%,2,11.1%,20,90.9%,2,9.1%,4,80.0%,1,20.0%,112,95.7%,5,4.3%,18,75.0%,6,25.0%,37,92.5%,3,7.5%,52,100.0%,0,0.0%,51,83.6%,10,16.4%,5,100.0%,0,0.0%,189,87.5%,27,12.5%,9,100.0%
Dorset,1,100.0%,0,0.0%,130,87.2%,19,12.8%,10,76.9%,3,23.1%,9,75.0%,3,25.0%,0,0,0,0,77,96.3%,3,3.8%,8,100.0%,0,0.0%,24,92.3%,2,7.7%,42,97.7%,1,2.3%,48,85.7%,8,14.3%,6,100.0%,0,0.0%,66,86.8%,10,13.2%,9,100.0%
Durham,0,0.0%,1,100.0%,104,81.9%,23,18.1%,6,85.7%,1,14.3%,15,93.8%,1,6.3%,3,75.0%,1,25.0%,87,94.6%,5,5.4%,12,92.3%,1,7.7%,21,80.8%,5,19.2%,18,100.0%,0,0.0%,23,74.2%,8,25.8%,11,100.0%,0,0.0%,104,94.5%,6,5.5%,7,100.0%
Dyfed Powys,0,0.0%,1,100.0%,65,84.4%,12,15.6%,5,62.5%,3,37.5%,4,100.0%,0,0.0%,0,0,0,0,31,93.9%,2,6.1%,3,50.0%,3,50.0%,15,100.0%,0,0.0%,36,100.0%,0,0.0%,34,94.4%,2,5.6%,2,66.7%,1,33.3%,77,83.7%,15,16.3%,6,100.0%
Essex,7,100.0%,0,0.0%,303,80.8%,72,19.2%,45,76.3%,14,23.7%,31,86.1%,5,13.9%,11,64.7%,6,35.3%,157,89.7%,18,10.3%,26,83.9%,5,16.1%,41,80.4%,10,19.6%,77,95.1%,4,4.9%,54,85.7%,9,14.3%,10,71.4%,4,28.6%,195,81.9%,43,18.1%,28,100.0%
Gloucestershire,1,100.0%,0,0.0%,86,82.7%,18,17.3%,1,100.0%,0,0.0%,16,88.9%,2,11.1%,4,100.0%,0,0.0%,48,94.1%,3,5.9%,9,100.0%,0,0.0%,12,92.3%,1,7.7%,35,100.0%,0,0.0%,25,69.4%,11,30.6%,2,100.0%,0,0.0%,57,95.0%,3,5.0%,4,100.0%
GreaterManchester,3,100.0%,0,0.0%,566,81.7%,127,18.3%,92,72.4%,35,27.6%,58,90.6%,6,9.4%,19,73.1%,7,26.9%,248,93.9%,16,6.1%,41,85.4%,7,14.6%,80,94.1%,5,5.9%,127,87.0%,19,13.0%,162,91.5%,15,8.5%,52,94.5%,3,5.5%,325,78.1%,91,21.9%,31,100.0%
Gwent,1,100.0%,0,0.0%,81,82.7%,17,17.3%,7,63.6%,4,36.4%,10,90.9%,1,9.1%,5,100.0%,0,0.0%,79,92.9%,6,7.1%,6,100.0%,0,0.0%,18,78.3%,5,21.7%,33,94.3%,2,5.7%,35,97.2%,1,2.8%,3,75.0%,1,25.0%,92,90.2%,10,9.8%,1,100.0%
Hampshire,2,100.0%,0,0.0%,270,87.7%,38,12.3%,30,76.9%,9,23.1%,31,86.1%,5,13.9%,6,100.0%,0,0.0%,176,94.6%,10,5.4%,33,84.6%,6,15.4%,43,87.8%,6,12.2%,65,95.6%,3,4.4%,63,85.1%,11,14.9%,14,93.3%,1,6.7%,190,92.2%,16,7.8%,13,100.0%
Hertfordshire,1,50.0%,1,50.0%,181,85.0%,32,15.0%,15,88.2%,2,11.8%,22,100.0%,0,0.0%,2,50.0%,2,50.0%,145,89.5%,17,10.5%,31,93.9%,2,6.1%,34,94.4%,2,5.6%,80,97.6%,2,2.4%,40,78.4%,11,21.6%,8,88.9%,1,11.1%,133,83.1%,27,16.9%,12,100.0%
