,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,131,82.9%,27,17.1%,"10,276",78.0%,"2,892",22.0%,"1,057",71.8%,415,28.2%,"1,193",86.0%,194,14.0%,374,80.6%,90,19.4%,"7,831",91.8%,701,8.2%,915,86.6%,142,13.4%,"1,913",84.8%,344,15.2%,"4,000",93.8%,265,6.2%,"3,400",84.7%,612,15.3%,752,87.5%,107,12.5%,"7,371",84.8%,"1,320",15.2%,720,100.0%
Avon and Somerset,2,66.7%,1,33.3%,254,78.2%,71,21.8%,48,76.2%,15,23.8%,37,94.9%,2,5.1%,10,100.0%,0,0.0%,188,93.1%,14,6.9%,25,96.2%,1,3.8%,52,83.9%,10,16.1%,71,95.9%,3,4.1%,59,80.8%,14,19.2%,10,83.3%,2,16.7%,160,92.0%,14,8.0%,24,100.0%
Bedfordshire,1,100.0%,0,0.0%,83,80.6%,20,19.4%,7,58.3%,5,41.7%,5,62.5%,3,37.5%,4,100.0%,0,0.0%,62,88.6%,8,11.4%,5,71.4%,2,28.6%,11,84.6%,2,15.4%,23,92.0%,2,8.0%,31,91.2%,3,8.8%,3,100.0%,0,0.0%,86,75.4%,28,24.6%,10,100.0%
Cambridgeshire,1,100.0%,0,0.0%,103,75.7%,33,24.3%,11,78.6%,3,21.4%,7,100.0%,0,0.0%,0,0,0,0,71,93.4%,5,6.6%,7,87.5%,1,12.5%,18,75.0%,6,25.0%,35,100.0%,0,0.0%,28,90.3%,3,9.7%,12,100.0%,0,0.0%,80,93.0%,6,7.0%,12,100.0%
Cheshire,2,100.0%,0,0.0%,254,82.2%,55,17.8%,22,68.8%,10,31.3%,24,96.0%,1,4.0%,7,70.0%,3,30.0%,155,93.9%,10,6.1%,14,100.0%,0,0.0%,35,87.5%,5,12.5%,89,93.7%,6,6.3%,83,83.8%,16,16.2%,13,92.9%,1,7.1%,176,89.8%,20,10.2%,11,100.0%
Cleveland,0,-,0,-,127,81.9%,28,18.1%,4,100.0%,0,0.0%,39,95.1%,2,4.9%,4,100.0%,0,0.0%,203,90.2%,22,9.8%,10,76.9%,3,23.1%,23,71.9%,9,28.1%,46,86.8%,7,13.2%,46,82.1%,10,17.9%,6,100.0%,0,0.0%,65,83.3%,13,16.7%,11,100.0%
Cumbria,0,-,0,-,103,88.0%,14,12.0%,6,100.0%,0,0.0%,8,88.9%,1,11.1%,5,100.0%,0,0.0%,101,97.1%,3,2.9%,1,100.0%,0,0.0%,27,93.1%,2,6.9%,37,100.0%,0,0.0%,36,87.8%,5,12.2%,8,100.0%,0,0.0%,76,88.4%,10,11.6%,2,100.0%
Derbyshire,1,100.0%,0,0.0%,188,80.3%,46,19.7%,6,100.0%,0,0.0%,9,64.3%,5,35.7%,8,88.9%,1,11.1%,135,82.8%,28,17.2%,12,80.0%,3,20.0%,57,89.1%,7,10.9%,72,96.0%,3,4.0%,54,87.1%,8,12.9%,16,84.2%,3,15.8%,115,81.0%,27,19.0%,16,100.0%
Devon and Cornwall,5,100.0%,0,0.0%,199,80.2%,49,19.8%,24,100.0%,0,0.0%,18,85.7%,3,14.3%,4,57.1%,3,42.9%,98,93.3%,7,6.7%,18,90.0%,2,10.0%,36,94.7%,2,5.3%,59,92.2%,5,7.8%,64,91.4%,6,8.6%,5,71.4%,2,28.6%,187,87.0%,28,13.0%,12,100.0%
Dorset,1,100.0%,0,0.0%,136,87.2%,20,12.8%,7,87.5%,1,12.5%,12,85.7%,2,14.3%,0,0,0,0,103,94.5%,6,5.5%,5,55.6%,4,44.4%,23,92.0%,2,8.0%,49,94.2%,3,5.8%,45,93.8%,3,6.3%,6,85.7%,1,14.3%,81,90.0%,9,10.0%,14,100.0%
