,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,54,73.0%,20,27.0%,"10,056",79.2%,"2,644",20.8%,994,74.7%,337,25.3%,"1,099",85.4%,188,14.6%,370,80.1%,92,19.9%,"6,192",91.4%,579,8.6%,867,86.1%,140,13.9%,"1,767",87.8%,245,12.2%,"3,465",92.4%,283,7.6%,"3,296",85.3%,570,14.7%,739,86.1%,119,13.9%,"7,167",86.1%,"1,160",13.9%,948,100.0%
Avon and Somerset,2,66.7%,1,33.3%,255,80.4%,62,19.6%,41,82.0%,9,18.0%,29,90.6%,3,9.4%,8,66.7%,4,33.3%,140,95.2%,7,4.8%,25,92.6%,2,7.4%,60,85.7%,10,14.3%,53,93.0%,4,7.0%,75,89.3%,9,10.7%,14,82.4%,3,17.6%,184,89.8%,21,10.2%,33,100.0%
Bedfordshire,0,-,0,-,115,86.5%,18,13.5%,4,100.0%,0,0.0%,8,88.9%,1,11.1%,6,100.0%,0,0.0%,68,87.2%,10,12.8%,7,87.5%,1,12.5%,9,75.0%,3,25.0%,17,89.5%,2,10.5%,19,76.0%,6,24.0%,5,83.3%,1,16.7%,97,79.5%,25,20.5%,22,100.0%
Cambridgeshire,1,100.0%,0,0.0%,108,80.0%,27,20.0%,13,92.9%,1,7.1%,12,92.3%,1,7.7%,0,0.0%,1,100.0%,65,95.6%,3,4.4%,9,100.0%,0,0.0%,17,94.4%,1,5.6%,23,92.0%,2,8.0%,23,92.0%,2,8.0%,6,60.0%,4,40.0%,70,90.9%,7,9.1%,16,100.0%
Cheshire,3,75.0%,1,25.0%,263,80.4%,64,19.6%,18,62.1%,11,37.9%,17,85.0%,3,15.0%,7,77.8%,2,22.2%,145,91.2%,14,8.8%,15,100.0%,0,0.0%,40,93.0%,3,7.0%,103,96.3%,4,3.7%,123,88.5%,16,11.5%,12,85.7%,2,14.3%,230,84.9%,41,15.1%,12,100.0%
Cleveland,1,50.0%,1,50.0%,118,76.6%,36,23.4%,10,90.9%,1,9.1%,22,66.7%,11,33.3%,7,87.5%,1,12.5%,175,97.2%,5,2.8%,15,78.9%,4,21.1%,30,88.2%,4,11.8%,48,92.3%,4,7.7%,46,85.2%,8,14.8%,7,100.0%,0,0.0%,55,84.6%,10,15.4%,4,100.0%
Cumbria,0,-,0,-,102,90.3%,11,9.7%,3,100.0%,0,0.0%,8,72.7%,3,27.3%,5,83.3%,1,16.7%,71,93.4%,5,6.6%,7,87.5%,1,12.5%,19,100.0%,0,0.0%,19,100.0%,0,0.0%,21,95.5%,1,4.5%,4,100.0%,0,0.0%,99,94.3%,6,5.7%,2,100.0%
Derbyshire,0,-,0,-,173,83.2%,35,16.8%,13,92.9%,1,7.1%,17,100.0%,0,0.0%,10,100.0%,0,0.0%,131,91.0%,13,9.0%,18,100.0%,0,0.0%,31,93.9%,2,6.1%,51,87.9%,7,12.1%,62,92.5%,5,7.5%,11,91.7%,1,8.3%,100,88.5%,13,11.5%,11,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,195,87.1%,29,12.9%,8,72.7%,3,27.3%,33,94.3%,2,5.7%,2,100.0%,0,0.0%,111,96.5%,4,3.5%,7,87.5%,1,12.5%,37,92.5%,3,7.5%,56,98.2%,1,1.8%,72,90.0%,8,10.0%,8,66.7%,4,33.3%,178,89.9%,20,10.1%,11,100.0%
Dorset,1,50.0%,1,50.0%,132,85.7%,22,14.3%,17,94.4%,1,5.6%,8,80.0%,2,20.0%,3,50.0%,3,50.0%,68,97.1%,2,2.9%,5,83.3%,1,16.7%,24,85.7%,4,14.3%,41,95.3%,2,4.7%,53,85.5%,9,14.5%,11,91.7%,1,8.3%,96,84.2%,18,15.8%,7,100.0%
