,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,80,80.0%,20,20.0%,"8,018",79.5%,"2,070",20.5%,853,74.7%,289,25.3%,875,89.1%,107,10.9%,294,78.8%,79,21.2%,"5,134",92.4%,425,7.6%,721,87.3%,105,12.7%,"1,356",84.3%,252,15.7%,"2,940",93.4%,209,6.6%,"2,462",86.8%,373,13.2%,680,86.6%,105,13.4%,"5,954",86.5%,933,13.5%,894,100.0%
Avon and Somerset,0,-,0,-,203,83.9%,39,16.1%,48,80.0%,12,20.0%,26,83.9%,5,16.1%,7,87.5%,1,12.5%,126,94.7%,7,5.3%,19,100.0%,0,0.0%,38,92.7%,3,7.3%,61,95.3%,3,4.7%,64,83.1%,13,16.9%,10,76.9%,3,23.1%,137,94.5%,8,5.5%,36,100.0%
Bedfordshire,0,-,0,-,77,75.5%,25,24.5%,7,100.0%,0,0.0%,18,90.0%,2,10.0%,2,100.0%,0,0.0%,43,84.3%,8,15.7%,4,80.0%,1,20.0%,13,76.5%,4,23.5%,22,100.0%,0,0.0%,17,89.5%,2,10.5%,1,50.0%,1,50.0%,69,84.1%,13,15.9%,14,100.0%
Cambridgeshire,0,-,0,-,115,81.6%,26,18.4%,7,77.8%,2,22.2%,11,78.6%,3,21.4%,0,0.0%,2,100.0%,57,95.0%,3,5.0%,10,90.9%,1,9.1%,24,92.3%,2,7.7%,23,88.5%,3,11.5%,27,90.0%,3,10.0%,3,60.0%,2,40.0%,63,95.5%,3,4.5%,17,100.0%
Cheshire,1,50.0%,1,50.0%,206,80.5%,50,19.5%,22,75.9%,7,24.1%,18,85.7%,3,14.3%,8,100.0%,0,0.0%,126,92.6%,10,7.4%,7,87.5%,1,12.5%,41,93.2%,3,6.8%,61,92.4%,5,7.6%,77,85.6%,13,14.4%,11,100.0%,0,0.0%,190,84.8%,34,15.2%,18,100.0%
Cleveland,0,-,0,-,94,74.6%,32,25.4%,5,83.3%,1,16.7%,31,88.6%,4,11.4%,6,100.0%,0,0.0%,181,94.3%,11,5.7%,11,91.7%,1,8.3%,33,100.0%,0,0.0%,59,96.7%,2,3.3%,41,89.1%,5,10.9%,4,100.0%,0,0.0%,50,80.6%,12,19.4%,5,100.0%
Cumbria,1,100.0%,0,0.0%,101,87.1%,15,12.9%,4,100.0%,0,0.0%,1,100.0%,0,0.0%,1,50.0%,1,50.0%,60,95.2%,3,4.8%,5,71.4%,2,28.6%,11,78.6%,3,21.4%,22,100.0%,0,0.0%,35,92.1%,3,7.9%,5,100.0%,0,0.0%,77,91.7%,7,8.3%,1,100.0%
Derbyshire,1,100.0%,0,0.0%,129,82.2%,28,17.8%,8,88.9%,1,11.1%,13,100.0%,0,0.0%,3,100.0%,0,0.0%,120,89.6%,14,10.4%,11,100.0%,0,0.0%,21,75.0%,7,25.0%,42,95.5%,2,4.5%,44,81.5%,10,18.5%,16,51.6%,15,48.4%,82,82.8%,17,17.2%,8,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,152,84.0%,29,16.0%,11,100.0%,0,0.0%,11,100.0%,0,0.0%,3,60.0%,2,40.0%,78,95.1%,4,4.9%,5,83.3%,1,16.7%,32,94.1%,2,5.9%,38,88.4%,5,11.6%,33,78.6%,9,21.4%,5,100.0%,0,0.0%,151,87.3%,22,12.7%,10,100.0%
Dorset,0,-,0,-,97,89.8%,11,10.2%,5,62.5%,3,37.5%,12,92.3%,1,7.7%,5,100.0%,0,0.0%,72,96.0%,3,4.0%,10,100.0%,0,0.0%,15,78.9%,4,21.1%,35,97.2%,1,2.8%,22,71.0%,9,29.0%,8,80.0%,2,20.0%,117,93.6%,8,6.4%,22,100.0%
