,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,125,83.3%,25,16.7%,"10,140",79.5%,"2,622",20.5%,"1,026",74.6%,349,25.4%,"1,183",86.9%,178,13.1%,378,80.4%,92,19.6%,"6,102",92.2%,515,7.8%,860,87.4%,124,12.6%,"1,862",88.7%,238,11.3%,"3,573",93.4%,254,6.6%,"3,076",85.5%,520,14.5%,740,87.3%,108,12.7%,"6,743",84.3%,"1,257",15.7%,825,100.0%
Avon and Somerset,4,66.7%,2,33.3%,275,79.0%,73,21.0%,70,76.1%,22,23.9%,34,82.9%,7,17.1%,4,80.0%,1,20.0%,153,93.9%,10,6.1%,26,92.9%,2,7.1%,55,93.2%,4,6.8%,72,92.3%,6,7.7%,84,88.4%,11,11.6%,11,84.6%,2,15.4%,166,84.3%,31,15.7%,19,100.0%
Bedfordshire,0,-,0,-,94,81.0%,22,19.0%,5,83.3%,1,16.7%,14,82.4%,3,17.6%,13,86.7%,2,13.3%,59,98.3%,1,1.7%,9,90.0%,1,10.0%,19,100.0%,0,0.0%,33,91.7%,3,8.3%,19,76.0%,6,24.0%,5,100.0%,0,0.0%,82,73.9%,29,26.1%,21,100.0%
Cambridgeshire,3,100.0%,0,0.0%,108,84.4%,20,15.6%,10,100.0%,0,0.0%,11,91.7%,1,8.3%,2,50.0%,2,50.0%,60,89.6%,7,10.4%,8,100.0%,0,0.0%,23,95.8%,1,4.2%,22,88.0%,3,12.0%,23,67.6%,11,32.4%,6,100.0%,0,0.0%,81,95.3%,4,4.7%,19,100.0%
Cheshire,2,100.0%,0,0.0%,250,79.1%,66,20.9%,25,83.3%,5,16.7%,22,91.7%,2,8.3%,6,100.0%,0,0.0%,111,94.1%,7,5.9%,17,85.0%,3,15.0%,39,92.9%,3,7.1%,83,96.5%,3,3.5%,109,92.4%,9,7.6%,10,100.0%,0,0.0%,199,85.0%,35,15.0%,14,100.0%
Cleveland,0,-,0,-,138,76.2%,43,23.8%,7,87.5%,1,12.5%,33,94.3%,2,5.7%,2,66.7%,1,33.3%,200,92.6%,16,7.4%,8,100.0%,0,0.0%,38,90.5%,4,9.5%,49,90.7%,5,9.3%,62,86.1%,10,13.9%,12,80.0%,3,20.0%,76,87.4%,11,12.6%,6,100.0%
Cumbria,2,100.0%,0,0.0%,95,88.0%,13,12.0%,2,50.0%,2,50.0%,6,85.7%,1,14.3%,2,100.0%,0,0.0%,71,95.9%,3,4.1%,3,100.0%,0,0.0%,18,100.0%,0,0.0%,29,90.6%,3,9.4%,37,94.9%,2,5.1%,7,87.5%,1,12.5%,74,90.2%,8,9.8%,2,100.0%
Derbyshire,1,100.0%,0,0.0%,160,82.5%,34,17.5%,8,80.0%,2,20.0%,21,100.0%,0,0.0%,1,100.0%,0,0.0%,124,91.9%,11,8.1%,11,91.7%,1,8.3%,43,91.5%,4,8.5%,44,91.7%,4,8.3%,50,82.0%,11,18.0%,4,66.7%,2,33.3%,106,86.2%,17,13.8%,10,100.0%
Devon and Cornwall,4,100.0%,0,0.0%,208,85.6%,35,14.4%,10,71.4%,4,28.6%,15,100.0%,0,0.0%,7,87.5%,1,12.5%,102,97.1%,3,2.9%,16,84.2%,3,15.8%,42,95.5%,2,4.5%,66,98.5%,1,1.5%,72,93.5%,5,6.5%,8,100.0%,0,0.0%,165,87.8%,23,12.2%,19,100.0%
Dorset,0,-,0,-,137,83.0%,28,17.0%,8,72.7%,3,27.3%,12,92.3%,1,7.7%,3,100.0%,0,0.0%,46,86.8%,7,13.2%,6,75.0%,2,25.0%,28,90.3%,3,9.7%,32,100.0%,0,0.0%,42,89.4%,5,10.6%,5,100.0%,0,0.0%,79,86.8%,12,13.2%,24,100.0%
