,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,105,82.7%,22,17.3%,"9,580",78.8%,"2,581",21.2%,"1,043",73.8%,370,26.2%,"1,161",88.2%,156,11.8%,302,74.2%,105,25.8%,"6,391",92.4%,526,7.6%,874,87.1%,129,12.9%,"1,694",86.9%,255,13.1%,"3,583",94.3%,216,5.7%,"3,081",86.4%,487,13.6%,747,87.0%,112,13.0%,"7,287",85.8%,"1,204",14.2%,902,100.0%
Avon and Somerset,2,100.0%,0,0.0%,277,82.4%,59,17.6%,54,70.1%,23,29.9%,21,84.0%,4,16.0%,9,90.0%,1,10.0%,150,92.6%,12,7.4%,21,87.5%,3,12.5%,57,87.7%,8,12.3%,110,95.7%,5,4.3%,70,86.4%,11,13.6%,8,88.9%,1,11.1%,180,86.5%,28,13.5%,35,100.0%
Bedfordshire,1,100.0%,0,0.0%,76,64.4%,42,35.6%,4,100.0%,0,0.0%,10,90.9%,1,9.1%,9,75.0%,3,25.0%,74,83.1%,15,16.9%,10,83.3%,2,16.7%,23,92.0%,2,8.0%,36,97.3%,1,2.7%,25,67.6%,12,32.4%,8,88.9%,1,11.1%,79,77.5%,23,22.5%,19,100.0%
Cambridgeshire,4,80.0%,1,20.0%,128,79.5%,33,20.5%,11,91.7%,1,8.3%,13,86.7%,2,13.3%,6,54.5%,5,45.5%,73,97.3%,2,2.7%,17,94.4%,1,5.6%,26,86.7%,4,13.3%,22,91.7%,2,8.3%,19,76.0%,6,24.0%,4,80.0%,1,20.0%,78,84.8%,14,15.2%,7,100.0%
Cheshire,1,100.0%,0,0.0%,205,81.7%,46,18.3%,23,65.7%,12,34.3%,19,86.4%,3,13.6%,3,100.0%,0,0.0%,157,96.9%,5,3.1%,22,81.5%,5,18.5%,25,86.2%,4,13.8%,71,97.3%,2,2.7%,107,96.4%,4,3.6%,15,88.2%,2,11.8%,221,88.4%,29,11.6%,12,100.0%
Cleveland,4,100.0%,0,0.0%,104,71.2%,42,28.8%,11,91.7%,1,8.3%,35,83.3%,7,16.7%,3,37.5%,5,62.5%,200,96.6%,7,3.4%,10,83.3%,2,16.7%,26,89.7%,3,10.3%,40,90.9%,4,9.1%,48,80.0%,12,20.0%,9,100.0%,0,0.0%,73,91.3%,7,8.8%,10,100.0%
Cumbria,0,-,0,-,118,90.8%,12,9.2%,5,100.0%,0,0.0%,6,75.0%,2,25.0%,0,0,0,0,69,100.0%,0,0.0%,3,100.0%,0,0.0%,24,88.9%,3,11.1%,37,100.0%,0,0.0%,41,95.3%,2,4.7%,7,77.8%,2,22.2%,74,88.1%,10,11.9%,1,100.0%
Derbyshire,1,100.0%,0,0.0%,174,73.1%,64,26.9%,9,90.0%,1,10.0%,17,81.0%,4,19.0%,5,100.0%,0,0.0%,130,90.3%,14,9.7%,12,85.7%,2,14.3%,31,83.8%,6,16.2%,46,93.9%,3,6.1%,48,85.7%,8,14.3%,12,85.7%,2,14.3%,135,84.9%,24,15.1%,9,100.0%
Devon and Cornwall,3,75.0%,1,25.0%,190,83.7%,37,16.3%,12,100.0%,0,0.0%,30,100.0%,0,0.0%,8,100.0%,0,0.0%,130,92.9%,10,7.1%,12,100.0%,0,0.0%,41,93.2%,3,6.8%,59,95.2%,3,4.8%,71,86.6%,11,13.4%,11,73.3%,4,26.7%,205,88.0%,28,12.0%,7,100.0%
Dorset,2,100.0%,0,0.0%,156,89.1%,19,10.9%,9,81.8%,2,18.2%,10,83.3%,2,16.7%,0,0.0%,1,100.0%,78,95.1%,4,4.9%,11,84.6%,2,15.4%,19,79.2%,5,20.8%,51,94.4%,3,5.6%,44,95.7%,2,4.3%,12,100.0%,0,0.0%,118,90.1%,13,9.9%,11,100.0%
Durham,2,66.7%,1,33.3%,109,84.5%,20,15.5%,7,87.5%,1,12.5%,13,81.3%,3,18.8%,2,50.0%,2,50.0%,123,94.6%,7,5.4%,11,91.7%,1,8.3%,25,80.6%,6,19.4%,12,75.0%,4,25.0%,20,60.6%,13,39.4%,8,100.0%,0,0.0%,79,94.0%,5,6.0%,8,100.0%
Dyfed Powys,1,100.0%,0,0.0%,65,78.3%,18,21.7%,12,85.7%,2,14.3%,7,100.0%,0,0.0%,0,0.0%,1,100.0%,33,89.2%,4,10.8%,4,66.7%,2,33.3%,16,88.9%,2,11.1%,19,90.5%,2,9.5%,22,100.0%,0,0.0%,2,100.0%,0,0.0%,88,93.6%,6,6.4%,1,100.0%
Essex,6,100.0%,0,0.0%,259,81.2%,60,18.8%,47,70.1%,20,29.9%,30,96.8%,1,3.2%,3,60.0%,2,40.0%,122,91.7%,11,8.3%,19,82.6%,4,17.4%,50,89.3%,6,10.7%,71,91.0%,7,9.0%,39,83.0%,8,17.0%,10,76.9%,3,23.1%,198,83.9%,38,16.1%,21,100.0%
Gloucestershire,1,100.0%,0,0.0%,69,75.0%,23,25.0%,6,100.0%,0,0.0%,9,69.2%,4,30.8%,0,0,0,0,60,95.2%,3,4.8%,5,100.0%,0,0.0%,12,80.0%,3,20.0%,38,90.5%,4,9.5%,20,90.9%,2,9.1%,3,100.0%,0,0.0%,61,89.7%,7,10.3%,11,100.0%
GreaterManchester,10,100.0%,0,0.0%,472,78.3%,131,21.7%,73,70.9%,30,29.1%,58,93.5%,4,6.5%,24,92.3%,2,7.7%,144,90.6%,15,9.4%,20,74.1%,7,25.9%,90,88.2%,12,11.8%,65,97.0%,2,3.0%,141,93.4%,10,6.6%,39,84.8%,7,15.2%,294,86.2%,47,13.8%,37,100.0%
Gwent,0,0.0%,2,100.0%,87,84.5%,16,15.5%,6,60.0%,4,40.0%,16,84.2%,3,15.8%,5,100.0%,0,0.0%,75,92.6%,6,7.4%,6,100.0%,0,0.0%,20,80.0%,5,20.0%,21,77.8%,6,22.2%,30,78.9%,8,21.1%,4,100.0%,0,0.0%,116,89.2%,14,10.8%,1,100.0%
Hampshire,0,-,0,-,307,81.9%,68,18.1%,25,86.2%,4,13.8%,31,88.6%,4,11.4%,8,100.0%,0,0.0%,229,95.4%,11,4.6%,26,78.8%,7,21.2%,39,90.7%,4,9.3%,64,98.5%,1,1.5%,80,82.5%,17,17.5%,17,81.0%,4,19.0%,228,93.4%,16,6.6%,30,100.0%
Hertfordshire,1,100.0%,0,0.0%,169,84.9%,30,15.1%,6,85.7%,1,14.3%,23,85.2%,4,14.8%,16,88.9%,2,11.1%,141,92.2%,12,7.8%,29,100.0%,0,0.0%,31,93.9%,2,6.1%,76,95.0%,4,5.0%,35,85.4%,6,14.6%,9,100.0%,0,0.0%,136,87.7%,19,12.3%,16,100.0%
Humberside,0,-,0,-,187,87.0%,28,13.0%,7,58.3%,5,41.7%,45,95.7%,2,4.3%,7,100.0%,0,0.0%,131,91.6%,12,8.4%,14,87.5%,2,12.5%,35,92.1%,3,7.9%,40,93.0%,3,7.0%,55,96.5%,2,3.5%,11,91.7%,1,8.3%,107,89.2%,13,10.8%,9,100.0%
Kent,8,88.9%,1,11.1%,253,79.1%,67,20.9%,34,82.9%,7,17.1%,46,95.8%,2,4.2%,2,66.7%,1,33.3%,142,87.1%,21,12.9%,29,100.0%,0,0.0%,48,87.3%,7,12.7%,72,98.6%,1,1.4%,76,92.7%,6,7.3%,21,84.0%,4,16.0%,164,88.2%,22,11.8%,51,100.0%
Lancashire,4,100.0%,0,0.0%,273,78.2%,76,21.8%,13,92.9%,1,7.1%,43,87.8%,6,12.2%,6,66.7%,3,33.3%,256,96.2%,10,3.8%,14,93.3%,1,6.7%,71,91.0%,7,9.0%,63,98.4%,1,1.6%,103,88.8%,13,11.2%,21,100.0%,0,0.0%,287,86.4%,45,13.6%,9,100.0%
Leicestershire,4,100.0%,0,0.0%,144,77.8%,41,22.2%,33,75.0%,11,25.0%,22,91.7%,2,8.3%,4,80.0%,1,20.0%,75,87.2%,11,12.8%,12,92.3%,1,7.7%,23,88.5%,3,11.5%,38,95.0%,2,5.0%,42,82.4%,9,17.6%,11,84.6%,2,15.4%,119,79.3%,31,20.7%,4,100.0%
