,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,89,90.8%,9,9.2%,"9,663",78.1%,"2,714",21.9%,"1,024",74.4%,352,25.6%,"1,139",86.7%,175,13.3%,346,82.2%,75,17.8%,"5,895",91.5%,546,8.5%,816,85.4%,139,14.6%,"1,673",87.0%,250,13.0%,"3,373",93.8%,223,6.2%,"3,185",86.2%,508,13.8%,716,85.7%,119,14.3%,"6,867",84.4%,"1,274",15.6%,994,100.0%
Avon and Somerset,2,100.0%,0,0.0%,260,76.5%,80,23.5%,48,70.6%,20,29.4%,34,87.2%,5,12.8%,5,100.0%,0,0.0%,147,93.0%,11,7.0%,23,92.0%,2,8.0%,32,86.5%,5,13.5%,78,95.1%,4,4.9%,73,88.0%,10,12.0%,18,81.8%,4,18.2%,178,86.8%,27,13.2%,36,100.0%
Bedfordshire,0,-,0,-,74,75.5%,24,24.5%,6,75.0%,2,25.0%,14,87.5%,2,12.5%,2,100.0%,0,0.0%,59,90.8%,6,9.2%,10,100.0%,0,0.0%,9,75.0%,3,25.0%,18,94.7%,1,5.3%,15,88.2%,2,11.8%,6,100.0%,0,0.0%,90,77.6%,26,22.4%,16,100.0%
Cambridgeshire,1,50.0%,1,50.0%,89,78.8%,24,21.2%,13,92.9%,1,7.1%,12,85.7%,2,14.3%,4,100.0%,0,0.0%,71,97.3%,2,2.7%,15,100.0%,0,0.0%,22,95.7%,1,4.3%,31,93.9%,2,6.1%,32,88.9%,4,11.1%,9,69.2%,4,30.8%,98,84.5%,18,15.5%,23,100.0%
Cheshire,0,-,0,-,262,80.9%,62,19.1%,18,64.3%,10,35.7%,19,95.0%,1,5.0%,2,66.7%,1,33.3%,109,94.0%,7,6.0%,10,100.0%,0,0.0%,32,86.5%,5,13.5%,70,98.6%,1,1.4%,128,92.1%,11,7.9%,9,100.0%,0,0.0%,178,86.8%,27,13.2%,15,100.0%
Cleveland,0,-,0,-,104,75.9%,33,24.1%,12,92.3%,1,7.7%,18,81.8%,4,18.2%,6,85.7%,1,14.3%,175,92.1%,15,7.9%,10,83.3%,2,16.7%,24,72.7%,9,27.3%,65,92.9%,5,7.1%,36,81.8%,8,18.2%,10,90.9%,1,9.1%,69,88.5%,9,11.5%,7,100.0%
Cumbria,0,-,0,-,85,83.3%,17,16.7%,2,66.7%,1,33.3%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,63,94.0%,4,6.0%,4,100.0%,0,0.0%,22,95.7%,1,4.3%,29,100.0%,0,0.0%,30,96.8%,1,3.2%,4,100.0%,0,0.0%,75,90.4%,8,9.6%,0,-
Derbyshire,1,100.0%,0,0.0%,170,85.4%,29,14.6%,13,92.9%,1,7.1%,21,80.8%,5,19.2%,5,100.0%,0,0.0%,120,90.2%,13,9.8%,10,90.9%,1,9.1%,40,88.9%,5,11.1%,54,94.7%,3,5.3%,44,88.0%,6,12.0%,14,82.4%,3,17.6%,99,89.2%,12,10.8%,12,100.0%
Devon and Cornwall,4,100.0%,0,0.0%,187,81.3%,43,18.7%,10,90.9%,1,9.1%,18,85.7%,3,14.3%,4,100.0%,0,0.0%,99,91.7%,9,8.3%,7,63.6%,4,36.4%,34,94.4%,2,5.6%,50,96.2%,2,3.8%,67,90.5%,7,9.5%,10,100.0%,0,0.0%,153,93.9%,10,6.1%,9,100.0%
Dorset,1,100.0%,0,0.0%,128,82.1%,28,17.9%,10,90.9%,1,9.1%,13,92.9%,1,7.1%,3,50.0%,3,50.0%,80,96.4%,3,3.6%,8,72.7%,3,27.3%,25,96.2%,1,3.8%,31,100.0%,0,0.0%,63,88.7%,8,11.3%,12,100.0%,0,0.0%,115,89.1%,14,10.9%,19,100.0%
Durham,0,-,0,-,104,81.3%,24,18.8%,2,100.0%,0,0.0%,17,85.0%,3,15.0%,2,50.0%,2,50.0%,89,89.0%,11,11.0%,4,57.1%,3,42.9%,25,78.1%,7,21.9%,16,94.1%,1,5.9%,26,81.3%,6,18.8%,6,85.7%,1,14.3%,70,89.7%,8,10.3%,10,100.0%
Dyfed Powys,0,-,0,-,58,80.6%,14,19.4%,0,0.0%,2,100.0%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,48,96.0%,2,4.0%,2,66.7%,1,33.3%,22,95.7%,1,4.3%,38,97.4%,1,2.6%,22,91.7%,2,8.3%,4,100.0%,0,0.0%,74,89.2%,9,10.8%,2,100.0%
Essex,4,100.0%,0,0.0%,237,79.0%,63,21.0%,49,84.5%,9,15.5%,28,90.3%,3,9.7%,6,60.0%,4,40.0%,112,92.6%,9,7.4%,22,84.6%,4,15.4%,41,89.1%,5,10.9%,62,98.4%,1,1.6%,47,94.0%,3,6.0%,6,85.7%,1,14.3%,189,76.2%,59,23.8%,21,100.0%
