,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,91,74.0%,32,26.0%,"10,147",79.4%,"2,630",20.6%,959,74.5%,329,25.5%,"1,098",85.8%,181,14.2%,366,79.6%,94,20.4%,"6,342",92.0%,555,8.0%,902,87.8%,125,12.2%,"1,847",86.3%,293,13.7%,"3,752",93.8%,249,6.2%,"3,272",86.4%,516,13.6%,813,89.5%,95,10.5%,"7,932",86.9%,"1,191",13.1%,976,100.0%
Avon and Somerset,1,50.0%,1,50.0%,306,83.6%,60,16.4%,43,79.6%,11,20.4%,20,76.9%,6,23.1%,10,71.4%,4,28.6%,149,91.4%,14,8.6%,20,100.0%,0,0.0%,46,86.8%,7,13.2%,100,92.6%,8,7.4%,91,88.3%,12,11.7%,12,100.0%,0,0.0%,228,89.1%,28,10.9%,24,100.0%
Bedfordshire,0,0.0%,1,100.0%,112,78.3%,31,21.7%,5,83.3%,1,16.7%,12,92.3%,1,7.7%,2,66.7%,1,33.3%,67,93.1%,5,6.9%,10,83.3%,2,16.7%,11,84.6%,2,15.4%,31,96.9%,1,3.1%,23,85.2%,4,14.8%,5,83.3%,1,16.7%,85,75.2%,28,24.8%,15,100.0%
Cambridgeshire,2,100.0%,0,0.0%,131,76.2%,41,23.8%,5,100.0%,0,0.0%,14,82.4%,3,17.6%,3,100.0%,0,0.0%,77,91.7%,7,8.3%,13,86.7%,2,13.3%,13,81.3%,3,18.8%,18,100.0%,0,0.0%,27,77.1%,8,22.9%,2,28.6%,5,71.4%,99,85.3%,17,14.7%,13,100.0%
Cheshire,2,100.0%,0,0.0%,237,82.6%,50,17.4%,26,83.9%,5,16.1%,27,100.0%,0,0.0%,7,100.0%,0,0.0%,126,92.0%,11,8.0%,22,88.0%,3,12.0%,27,84.4%,5,15.6%,91,95.8%,4,4.2%,131,96.3%,5,3.7%,15,100.0%,0,0.0%,262,89.4%,31,10.6%,10,100.0%
Cleveland,1,100.0%,0,0.0%,88,76.5%,27,23.5%,6,85.7%,1,14.3%,27,79.4%,7,20.6%,3,50.0%,3,50.0%,256,97.0%,8,3.0%,12,100.0%,0,0.0%,30,88.2%,4,11.8%,55,90.2%,6,9.8%,66,85.7%,11,14.3%,9,100.0%,0,0.0%,85,93.4%,6,6.6%,5,100.0%
Cumbria,3,100.0%,0,0.0%,145,91.8%,13,8.2%,2,100.0%,0,0.0%,13,86.7%,2,13.3%,0,0,0,0,91,93.8%,6,6.2%,7,100.0%,0,0.0%,18,90.0%,2,10.0%,35,100.0%,0,0.0%,41,95.3%,2,4.7%,4,100.0%,0,0.0%,109,92.4%,9,7.6%,6,100.0%
Derbyshire,0,-,0,-,215,76.2%,67,23.8%,7,70.0%,3,30.0%,14,73.7%,5,26.3%,1,50.0%,1,50.0%,170,89.0%,21,11.0%,23,95.8%,1,4.2%,41,78.8%,11,21.2%,55,94.8%,3,5.2%,81,84.4%,15,15.6%,19,90.5%,2,9.5%,183,92.4%,15,7.6%,16,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,205,88.4%,27,11.6%,11,100.0%,0,0.0%,20,100.0%,0,0.0%,9,90.0%,1,10.0%,78,92.9%,6,7.1%,7,77.8%,2,22.2%,53,94.6%,3,5.4%,44,97.8%,1,2.2%,80,93.0%,6,7.0%,11,100.0%,0,0.0%,215,91.1%,21,8.9%,11,100.0%
Dorset,2,100.0%,0,0.0%,140,84.8%,25,15.2%,16,84.2%,3,15.8%,17,85.0%,3,15.0%,2,100.0%,0,0.0%,71,95.9%,3,4.1%,12,100.0%,0,0.0%,22,88.0%,3,12.0%,44,95.7%,2,4.3%,33,76.7%,10,23.3%,9,100.0%,0,0.0%,139,93.3%,10,6.7%,17,100.0%
