,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,95,83.3%,19,16.7%,"9,003",79.1%,"2,379",20.9%,880,75.4%,287,24.6%,"1,000",86.4%,158,13.6%,372,81.0%,87,19.0%,"5,801",92.4%,480,7.6%,802,86.9%,121,13.1%,"1,589",85.6%,267,14.4%,"3,327",92.8%,260,7.2%,"2,713",86.2%,433,13.8%,691,89.3%,83,10.7%,"7,184",85.4%,"1,226",14.6%,963,100.0%
Avon and Somerset,4,100.0%,0,0.0%,253,81.1%,59,18.9%,41,80.4%,10,19.6%,24,88.9%,3,11.1%,14,82.4%,3,17.6%,112,89.6%,13,10.4%,10,90.9%,1,9.1%,57,87.7%,8,12.3%,64,90.1%,7,9.9%,87,84.5%,16,15.5%,6,66.7%,3,33.3%,206,89.2%,25,10.8%,22,100.0%
Bedfordshire,0,-,0,-,67,75.3%,22,24.7%,12,92.3%,1,7.7%,7,100.0%,0,0.0%,7,87.5%,1,12.5%,77,87.5%,11,12.5%,8,100.0%,0,0.0%,17,85.0%,3,15.0%,49,96.1%,2,3.9%,17,94.4%,1,5.6%,10,90.9%,1,9.1%,129,86.0%,21,14.0%,13,100.0%
Cambridgeshire,3,100.0%,0,0.0%,136,80.0%,34,20.0%,10,83.3%,2,16.7%,12,92.3%,1,7.7%,3,75.0%,1,25.0%,89,90.8%,9,9.2%,13,86.7%,2,13.3%,22,84.6%,4,15.4%,35,94.6%,2,5.4%,22,78.6%,6,21.4%,5,100.0%,0,0.0%,116,92.8%,9,7.2%,12,100.0%
Cheshire,2,100.0%,0,0.0%,258,88.7%,33,11.3%,28,90.3%,3,9.7%,26,100.0%,0,0.0%,4,80.0%,1,20.0%,146,96.1%,6,3.9%,20,95.2%,1,4.8%,40,87.0%,6,13.0%,91,94.8%,5,5.2%,98,89.9%,11,10.1%,15,100.0%,0,0.0%,233,89.6%,27,10.4%,27,100.0%
Cleveland,0,-,0,-,101,72.7%,38,27.3%,6,100.0%,0,0.0%,26,89.7%,3,10.3%,10,100.0%,0,0.0%,240,96.8%,8,3.2%,10,100.0%,0,0.0%,32,88.9%,4,11.1%,54,94.7%,3,5.3%,38,84.4%,7,15.6%,3,100.0%,0,0.0%,74,87.1%,11,12.9%,5,100.0%
Cumbria,0,-,0,-,89,85.6%,15,14.4%,6,100.0%,0,0.0%,7,87.5%,1,12.5%,1,100.0%,0,0.0%,79,97.5%,2,2.5%,9,90.0%,1,10.0%,19,86.4%,3,13.6%,21,100.0%,0,0.0%,48,96.0%,2,4.0%,4,80.0%,1,20.0%,67,89.3%,8,10.7%,5,100.0%
Derbyshire,3,100.0%,0,0.0%,150,78.1%,42,21.9%,11,78.6%,3,21.4%,15,100.0%,0,0.0%,6,54.5%,5,45.5%,132,93.0%,10,7.0%,18,90.0%,2,10.0%,28,82.4%,6,17.6%,35,87.5%,5,12.5%,58,90.6%,6,9.4%,9,100.0%,0,0.0%,93,86.1%,15,13.9%,22,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,194,86.2%,31,13.8%,10,76.9%,3,23.1%,24,92.3%,2,7.7%,1,100.0%,0,0.0%,75,96.2%,3,3.8%,15,100.0%,0,0.0%,32,94.1%,2,5.9%,81,96.4%,3,3.6%,53,94.6%,3,5.4%,11,91.7%,1,8.3%,168,90.8%,17,9.2%,4,100.0%
Dorset,3,100.0%,0,0.0%,108,81.8%,24,18.2%,11,73.3%,4,26.7%,12,100.0%,0,0.0%,3,75.0%,1,25.0%,56,91.8%,5,8.2%,7,100.0%,0,0.0%,23,92.0%,2,8.0%,35,100.0%,0,0.0%,26,83.9%,5,16.1%,6,85.7%,1,14.3%,108,88.5%,14,11.5%,20,100.0%
